n_ID	s_NAME	s_COMMON	s_EQUIPED	s_USED
20007	Repair Cure(Special)	ยาที่สามารถเพิ่มเลือดได้เต็มจำนวนครั้งแรกคือ 20 หากไม่ได้ตั้งค่าใช้ยาอัตโนมัติ ระบบนี้จะใช้ยาที่มีจำนวนน้อยที่สุดก่อน		เมื่อใช้สามารถฟื้นฟูเลือดได้จำนวนมาก!
20008	Crew Broaden One's View(1 Day)-Special	มีเพียงช่องสกิลพิเศษเท่านั้นที่สามารถใส่ [Crew Special Skill] ให้ลูกเรือได้		เมื่อใช้จะได้รับช่องสกิลพิเศษ 4 ช่อง(ลูกเรือทั้งหมดสามารถใช้ได้)
20009	Battle EXP Shelter(1 Day)-Special			เมื่อใช้จะเพิ่ม EXP ที่ได้รับจากการต่อสู้เพิ่มขึ้น 30% สามารถใช้ร่วมกับไอเทมที่ไม่ได้มาจากไอเทมมอลล์ได้
20010	Lucky Gather Shelter(1 Day)-Special	เมื่อใช้จะเพิ่มอัตราในการดรอป 10%, เพิ่มอัตราการดรอป [Extra Gold Brick] ที่มีคุณภาพ และไอเทม [Guawa Guess Fun] \n ไอเทม [Guawa Guess Fun] จะได้รับลูกเรือ, เครื่องประดับหลัง, เครื่องประดับหน้า และไอเทมอื่นๆที่เกี่ยวข้องของ Guawa family 		เมื่อใช้จะเพิ่มค่าโชคลาปในการดอป 10%
20011	Battle Skill Shelter(1 Day)-Special			เมื่อใช้จะเพิ่ม EXP ที่ได้รับจากการต่อสู้เพิ่มขึ้น 30% สามารถใช้ร่วมกับไอเทมที่ไม่ได้มาจากไอเทมมอลล์ได้
20012	VIP Service Contract(1 Day)-Special	สิทธิ์ VIP มีดังนี้: \n1. มีช่องในกระเป๋าเพิ่ม 40 ช่อง\n2. มีตู้นิรภัยติดตัว\n3. ขายไปเทมในประมูลเพิ่มขึ้น 15 ชิ้น\n4.ได้ EXP  Bonus 30％ จากการต่อสู้\n5. ได้รับ Skill Point Bonus จากการต่อสู้เพิ่มขึ้น 30％\n6. สามารถใช้【กระโดด VIP】ได้		เมื่อใช้จะได้รับสิทธิ์ VIP
20013	Instant Warehouse Service(1 Day)-Special			เมื่อใช้จะได้บริการคลังติดตัว สามารถเปิดคลังผ่าน [Instant Warehouse] ได้!
20014	Beginner Limit Break Crystal Stone(Special)			เมื่อกดใช้และเลือกเครื่องสวมใส่ สามารถเพิ่มเลเวลเครื่องสวมใส่ที่ต้องการได้ 1 เลเวล ไอเทมนี้สามารถตีบวกได้ถึงเลเวล 20
20015	Instant Box Service(1 Day)-Special			เมื่อใช้จะได้บริการตู้นิรภัยติดตัว สามารถเปิดตู้นิรภัยผ่าน [Instant Box] ในกระเป๋าได้!
20016	Instant Shop Service(1 Day)-Special			เมื่อใช้จะได้บริการร้านค้าติดตัว สามารถเปิด Royal Exchange ผ่าน [Instant Shop] ได้!
20017	Holy Stone(Special)	หากใส่ไอเทมนี้ไปในตอนตีบวก เมื่อการตีบวกล้มเหลว จะสามารถป้องกันไม่ให้เครื่องสวมใส่เลเวลลด		
20018	Settlement Chest  Multiple Choice Service(Special)			เมื่อใช้สามารถใช้Settlement Chest Choice Service ได้ 3 ครั้ง
20019	Dyeing Remove(Special)			เมื่อใช้สามารถเปิดหน้าลบสีย้อมได้
90001	Custom Gashapon 1	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90002	Custom Gashapon 2	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90003	Custom Gashapon 3	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90004	Custom Gashapon 4	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90005	Custom Gashapon 5	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90006	Custom Gashapon 6	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90007	Custom Gashapon 7	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90008	Custom Gashapon 8	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90009	Custom Gashapon 9	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90010	Custom Gashapon 10	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90011	Custom Gashapon 11	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90012	Custom Gashapon 12	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90013	Custom Gashapon 13	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90014	Custom Gashapon 14	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90015	Custom Gashapon 15	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90016	Custom Gashapon 16	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90017	Custom Gashapon 17	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90018	Custom Gashapon 18	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90019	Custom Gashapon 19	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90020	Custom Gashapon 20	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90021	Custom Gashapon 21	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90022	Custom Gashapon 22	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90023	Custom Gashapon 23	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90024	Custom Gashapon 24	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90025	Custom Gashapon 25	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90026	Custom Gashapon 26	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90027	Custom Gashapon 27	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90028	Custom Gashapon 28	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90029	Custom Gashapon 29	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90030	Custom Gashapon 30	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90031	Custom Gashapon 31	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90032	Custom Gashapon 32	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90033	Custom Gashapon 33	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90034	Custom Gashapon 34	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90035	Custom Gashapon 35	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90036	Custom Gashapon 36	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90037	Custom Gashapon 37	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90038	Custom Gashapon 38	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90039	Custom Gashapon 39	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90040	Custom Gashapon 40	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90041	Custom Gashapon 41	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90042	Custom Gashapon 42	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90043	Custom Gashapon 43	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90044	Custom Gashapon 44	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90045	Custom Gashapon 45	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90046	Custom Gashapon 46	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90047	Custom Gashapon 47	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90048	Custom Gashapon 48	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90049	Custom Gashapon 49	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90050	Custom Gashapon 50	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90051	Custom Gashapon 51	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90052	Custom Gashapon 52	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90053	Custom Gashapon 53	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90054	Custom Gashapon 54	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90055	Custom Gashapon 55	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90056	Custom Gashapon 56	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90057	Custom Gashapon 57	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90058	Custom Gashapon 58	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90059	Custom Gashapon 59	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90060	Custom Gashapon 60	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90061	Custom Gashapon 61	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90062	Custom Gashapon 62	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90063	Custom Gashapon 63	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90064	Custom Gashapon 64	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90065	Custom Gashapon 65	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90066	Custom Gashapon 66	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90067	Custom Gashapon 67	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90068	Custom Gashapon 68	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90069	Custom Gashapon 69	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90070	Custom Gashapon 70	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90071	Custom Gashapon 71	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90072	Custom Gashapon 72	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90073	Custom Gashapon 73	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90074	Custom Gashapon 74	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90075	Custom Gashapon 75	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90076	Custom Gashapon 76	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90077	Custom Gashapon 77	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90078	Custom Gashapon 78	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90079	Custom Gashapon 79	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90080	Custom Gashapon 80	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90081	Custom Gashapon 81	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90082	Custom Gashapon 82	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90083	Custom Gashapon 83	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90084	Custom Gashapon 84	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90085	Custom Gashapon 85	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90086	Custom Gashapon 86	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90087	Custom Gashapon 87	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90088	Custom Gashapon 88	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90089	Custom Gashapon 89	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90090	Custom Gashapon 90	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90091	Custom Gashapon 91	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90092	Custom Gashapon 92	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90093	Custom Gashapon 93	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90094	Custom Gashapon 94	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90095	Custom Gashapon 95	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90096	Custom Gashapon 96	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90097	Custom Gashapon 97	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90098	Custom Gashapon 98	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90099	Custom Gashapon 99	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
90100	Custom Gashapon 100	test-จากนั้นต้องจับข้อมูล IMS		คลิกขวาเพื่อเปิด Gashapon
95001	測試特效		測試用道具，內部使用，請勿外流！！	
95002	測試特效		測試用道具，內部使用，請勿外流！！	
95011	臉1.1	外觀變換	測試用道具，內部使用，請勿外流！！	
95012	臉1.2	外觀變換	測試用道具，內部使用，請勿外流！！	
95013	臉1.3	外觀變換	測試用道具，內部使用，請勿外流！！	
95014	臉1.4	外觀變換	測試用道具，內部使用，請勿外流！！	
95015	臉1.5	外觀變換	測試用道具，內部使用，請勿外流！！	
95016	臉2.1	外觀變換	測試用道具，內部使用，請勿外流！！	
95017	臉2.2	外觀變換	測試用道具，內部使用，請勿外流！！	
95018	臉2.3	外觀變換	測試用道具，內部使用，請勿外流！！	
95019	臉2.4	外觀變換	測試用道具，內部使用，請勿外流！！	
95020	臉2.5	外觀變換	測試用道具，內部使用，請勿外流！！	
95021	臉2.6	外觀變換	測試用道具，內部使用，請勿外流！！	
95022	O臉1-1	外觀變換	測試用道具，內部使用，請勿外流！！	
95023	O臉1-2	外觀變換	測試用道具，內部使用，請勿外流！！	
95024	O臉1-3	外觀變換	測試用道具，內部使用，請勿外流！！	
95025	O臉2-1	外觀變換	測試用道具，內部使用，請勿外流！！	
95026	O臉2-2	外觀變換	測試用道具，內部使用，請勿外流！！	
95027	O臉2-3	外觀變換	測試用道具，內部使用，請勿外流！！	
95028	O臉3-1	外觀變換	測試用道具，內部使用，請勿外流！！	
95029	O臉3-2	外觀變換	測試用道具，內部使用，請勿外流！！	
95030	O臉3-3	外觀變換	測試用道具，內部使用，請勿外流！！	
95031	臉1.1	外觀變換	測試用道具，內部使用，請勿外流！！	
95032	臉1.2	外觀變換	測試用道具，內部使用，請勿外流！！	
95033	臉1.3	外觀變換	測試用道具，內部使用，請勿外流！！	
95034	臉1.4	外觀變換	測試用道具，內部使用，請勿外流！！	
95035	臉1.5	外觀變換	測試用道具，內部使用，請勿外流！！	
95036	臉2.1	外觀變換	測試用道具，內部使用，請勿外流！！	
95037	臉2.2	外觀變換	測試用道具，內部使用，請勿外流！！	
95038	臉2.3	外觀變換	測試用道具，內部使用，請勿外流！！	
95039	臉2.4	外觀變換	測試用道具，內部使用，請勿外流！！	
95040	臉2.5	外觀變換	測試用道具，內部使用，請勿外流！！	
95041	臉2.6	外觀變換	測試用道具，內部使用，請勿外流！！	
95042	臉1.2	外觀變換	測試用道具，內部使用，請勿外流！！	
95043	臉1.3	外觀變換	測試用道具，內部使用，請勿外流！！	
95044	臉1.4	外觀變換	測試用道具，內部使用，請勿外流！！	
95045	臉2.1	外觀變換	測試用道具，內部使用，請勿外流！！	
95046	臉2.2	外觀變換	測試用道具，內部使用，請勿外流！！	
95047	臉2.3	外觀變換	測試用道具，內部使用，請勿外流！！	
95048	臉2.4	外觀變換	測試用道具，內部使用，請勿外流！！	
95049	臉2.5	外觀變換	測試用道具，內部使用，請勿外流！！	
95051	瞳1	外觀變換	測試用道具，內部使用，請勿外流！！	
95052	瞳2	外觀變換	測試用道具，內部使用，請勿外流！！	
95053	瞳3	外觀變換	測試用道具，內部使用，請勿外流！！	
95054	瞳4	外觀變換	測試用道具，內部使用，請勿外流！！	
95055	瞳5	外觀變換	測試用道具，內部使用，請勿外流！！	
95061	髮型1	外觀變換	測試用道具，內部使用，請勿外流！！	
95062	髮型2	外觀變換	測試用道具，內部使用，請勿外流！！	
95063	髮型3	外觀變換	測試用道具，內部使用，請勿外流！！	
95064	髮型4	外觀變換	測試用道具，內部使用，請勿外流！！	
95065	髮型5	外觀變換	測試用道具，內部使用，請勿外流！！	
95066	髮型6	外觀變換	測試用道具，內部使用，請勿外流！！	
95067	髮型7	外觀變換	測試用道具，內部使用，請勿外流！！	
95068	髮型8	外觀變換	測試用道具，內部使用，請勿外流！！	
95069	ทรงผม 9	เปลี่ยนรูปลักษณ์	ไอเทมสำหรับทดสอบใช้ภายใน ห้ามนำออก!!	
95070	髮型10	外觀變換	測試用道具，內部使用，請勿外流！！	
95071	染髮劑-紅	外觀變換	測試用道具，內部使用，請勿外流！！	
95072	染髮劑-紫	外觀變換	測試用道具，內部使用，請勿外流！！	
95073	染髮劑-黃	外觀變換	測試用道具，內部使用，請勿外流！！	
95074	染髮劑-銀	外觀變換	測試用道具，內部使用，請勿外流！！	
95075	染髮劑-黑	外觀變換	測試用道具，內部使用，請勿外流！！	
95076	染髮劑-藍	外觀變換	測試用道具，內部使用，請勿外流！！	
95077	染髮劑-綠	外觀變換	測試用道具，內部使用，請勿外流！！	
95081	膚色1	外觀變換	測試用道具，內部使用，請勿外流！！	
95082	膚色2	外觀變換	測試用道具，內部使用，請勿外流！！	
95083	膚色3	外觀變換	測試用道具，內部使用，請勿外流！！	
95084	膚色4	外觀變換	測試用道具，內部使用，請勿外流！！	
95085	膚色5	外觀變換	測試用道具，內部使用，請勿外流！！	
95086	膚色6	外觀變換	測試用道具，內部使用，請勿外流！！	
95087	膚色7	外觀變換	測試用道具，內部使用，請勿外流！！	
95088	膚色8	外觀變換	測試用道具，內部使用，請勿外流！！	
95089	膚色9	外觀變換	測試用道具，內部使用，請勿外流！！	
95090	膚色10	外觀變換	測試用道具，內部使用，請勿外流！！	
95091	膚色11	外觀變換	測試用道具，內部使用，請勿外流！！	
95092	膚色12	外觀變換	測試用道具，內部使用，請勿外流！！	
95093	膚色13	外觀變換	測試用道具，內部使用，請勿外流！！	
95094	膚色14	外觀變換	測試用道具，內部使用，請勿外流！！	
95095	膚色15	外觀變換	測試用道具，內部使用，請勿外流！！	
95096	膚色16	外觀變換	測試用道具，內部使用，請勿外流！！	
95097	膚色17	外觀變換	測試用道具，內部使用，請勿外流！！	
95098	膚色18	外觀變換	測試用道具，內部使用，請勿外流！！	
95099	膚色19	外觀變換	測試用道具，內部使用，請勿外流！！	
95100	膚色20	外觀變換	測試用道具，內部使用，請勿外流！！	
95201	高級LV.1洗煉卷	有著50%的機率可以將1級的裝備屬性升階	測試用道具，內部使用，請勿外流！！	找NPC瑞馬德可以開啟洗煉介面
95202	特級LV.1洗煉卷	有著100%的機率可以將1級的裝備屬性升階	測試用道具，內部使用，請勿外流！！	找NPC瑞馬德可以開啟洗煉介面
95203	高級LV.2洗煉卷	有著50%的機率可以將2級的裝備屬性升階	測試用道具，內部使用，請勿外流！！	找NPC瑞馬德可以開啟洗煉介面
95204	特級LV.2洗煉卷	有著100%的機率可以將2級的裝備屬性升階	測試用道具，內部使用，請勿外流！！	找NPC瑞馬德可以開啟洗煉介面
95205	高級LV.3洗煉卷	有著50%的機率可以將3階的裝備屬性升階(目前僅有字尾可升階)	測試用道具，內部使用，請勿外流！！	找NPC瑞馬德可以開啟洗煉介面
95206	特級LV.3洗煉卷	有著100%的機率可以將3階的裝備屬性升階(目前僅有字尾可升階)	測試用道具，內部使用，請勿外流！！	找NPC瑞馬德可以開啟洗煉介面
95207	高級LV.4洗煉卷		測試用道具，內部使用，請勿外流！！	找NPC瑞馬德可以開啟洗煉介面
95208	特級LV.4洗煉卷		測試用道具，內部使用，請勿外流！！	找NPC瑞馬德可以開啟洗煉介面
